Harmonized Name,Harmonized ID (Pubchem ID),Database,Name in Database,Source for Clinical Information,Clinical Phase,MOA,Targets
unnamed_5957,363821,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5958,363823,NCI60,-,#N/A,,#N/A,#N/A
anorographolic acid,363824,NCI60,anorographolic acid,#N/A,,#N/A,#N/A
unnamed_5959,363825,NCI60,-,#N/A,,#N/A,#N/A
"2', 3'-dideoxy-tiazofurin",363830,NCI60,"2', 3'-dideoxy-tiazofurin",#N/A,,#N/A,#N/A
unnamed_5960,363831,NCI60,-,#N/A,,#N/A,#N/A
2-(.beta.-d-ribofuanosyl)-thiazole-4-methylamidate,363832,NCI60,2-(.beta.-d-ribofuanosyl)-thiazole-4-methylamidate,#N/A,,#N/A,#N/A
unnamed_5961,363833,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5962,363835,NCI60,-,#N/A,,#N/A,#N/A
n-(3-quinolylcarbonyl)-n-methyl-l-alaninamide,363836,NCI60,n-(3-quinolylcarbonyl)-n-methyl-l-alaninamide,#N/A,,#N/A,#N/A
unnamed_5963,363837,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5964,363839,NCI60,-,#N/A,,#N/A,#N/A
"2,7-dibromoxanthone",363840,NCI60,"2,7-dibromoxanthone",#N/A,,#N/A,#N/A
"2,7-dicyanoxanthone",363841,NCI60,"2,7-dicyanoxanthone",#N/A,,#N/A,#N/A
"2,7-diamidinoxanthone dihydrochloride hydrate",363842,NCI60,"2,7-diamidinoxanthone dihydrochloride hydrate",#N/A,,#N/A,#N/A
3-(1-adamantylamino)-1-phenylpropane,363844,NCI60,3-(1-adamantylamino)-1-phenylpropane,#N/A,,#N/A,#N/A
3-(1-adamantylamino)-1-phenylpropanol,363845,NCI60,3-(1-adamantylamino)-1-phenylpropanol,#N/A,,#N/A,#N/A
4-phenyl-1-(phenylsulfonyl)azacycloheptane,363846,NCI60,4-phenyl-1-(phenylsulfonyl)azacycloheptane,#N/A,,#N/A,#N/A
unnamed_5965,363856,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5966,363857,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5967,363860,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5968,363866,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5969,363867,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5970,363869,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5971,363870,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5972,363871,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5973,363872,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5974,363873,NCI60,-,#N/A,,#N/A,#N/A
myristoyl tetrazole,363886,NCI60,myristoyl tetrazole,#N/A,,#N/A,#N/A
unnamed_5975,363887,NCI60,-,#N/A,,#N/A,#N/A
3-(n-phenylthiocarbamoyl)-propanoic acid,363895,NCI60,3-(n-phenylthiocarbamoyl)-propanoic acid,#N/A,,#N/A,#N/A
3-[n-(3-nitrophenylthiocarbamoyl)]-propanoic acid,363896,NCI60,3-[n-(3-nitrophenylthiocarbamoyl)]-propanoic acid,#N/A,,#N/A,#N/A
3-[n-(4-nitrophenylthiocarbamoyl)]-propanoic acid,363897,NCI60,3-[n-(4-nitrophenylthiocarbamoyl)]-propanoic acid,#N/A,,#N/A,#N/A
3-[n-(2-fluorophenylthiocarbamoyl)]-propanoic acid,363899,NCI60,3-[n-(2-fluorophenylthiocarbamoyl)]-propanoic acid,#N/A,,#N/A,#N/A
unnamed_5976,363900,NCI60,-,#N/A,,#N/A,#N/A
3-[n-(3-fluorophenylthiocarbamoyl)]-propanoic acid,363902,NCI60,3-[n-(3-fluorophenylthiocarbamoyl)]-propanoic acid,#N/A,,#N/A,#N/A
unnamed_5977,363903,NCI60,-,#N/A,,#N/A,#N/A
3-[n-(4-ethylcarboxyphenylthiocarbamoyl)]-propanoic acid,363904,NCI60,3-[n-(4-ethylcarboxyphenylthiocarbamoyl)]-propanoic acid,#N/A,,#N/A,#N/A
3-(n-[sulfon(4-methylphenyl)thiocarbamoyl])-propanoic acid,363905,NCI60,3-(n-[sulfon(4-methylphenyl)thiocarbamoyl])-propanoic acid,#N/A,,#N/A,#N/A
3-[n-4-methylphenylthiocarbamoyl)]-propanoic acid,363906,NCI60,3-[n-4-methylphenylthiocarbamoyl)]-propanoic acid,#N/A,,#N/A,#N/A
2-[n-(4-phenylazophenylthiocarbamoyl)]-benzoic acid,363907,NCI60,2-[n-(4-phenylazophenylthiocarbamoyl)]-benzoic acid,#N/A,,#N/A,#N/A
2-[n-(4-phenylazophenylthiocarbamoyl)]-propanoic acid,363908,NCI60,2-[n-(4-phenylazophenylthiocarbamoyl)]-propanoic acid,#N/A,,#N/A,#N/A
4-[n-(4-phenylazophenylthiocarbamoyl)]-butanoic acid,363910,NCI60,4-[n-(4-phenylazophenylthiocarbamoyl)]-butanoic acid,#N/A,,#N/A,#N/A
methyl 3-[n-(2-chlorophenylthiocarbamoyl)]-propanoate,363911,NCI60,methyl 3-[n-(2-chlorophenylthiocarbamoyl)]-propanoate,#N/A,,#N/A,#N/A
unnamed_5978,363912,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5979,363913,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5980,363914,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5981,363915,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5982,363916,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5983,363917,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5984,363918,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5985,363919,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5986,363921,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5987,363925,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5988,363926,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5989,363927,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5990,363928,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5991,363929,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5992,363930,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5993,363931,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5994,363932,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5995,363933,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5996,363934,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5997,363935,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5998,363936,NCI60,-,#N/A,,#N/A,#N/A
unnamed_5999,363937,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6000,363939,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6001,363940,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6002,363944,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6003,363947,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6004,363948,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6005,363949,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6006,363951,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6007,363956,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6008,363957,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6009,363958,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6010,363959,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6011,363961,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6012,363962,NCI60,-,#N/A,,#N/A,#N/A
no data in this field,363963,NCI60,no data in this field,#N/A,,#N/A,#N/A
unnamed_6013,363964,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6014,363965,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6015,363966,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6016,363967,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6017,363969,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6018,363970,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6019,363972,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6020,363975,NCI60,-,#N/A,,#N/A,#N/A
"(-)-(1r,5r,1'r,5'r)-carvone pinacol",363981,NCI60,"(-)-(1r,5r,1'r,5'r)-carvone pinacol",#N/A,,#N/A,#N/A
unnamed_6021,363985,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6022,363989,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6023,363990,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6024,363991,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6025,363992,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6026,363993,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6027,363994,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6028,363995,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6029,363996,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6030,363997,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6031,363998,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6032,363999,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6033,364000,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6034,364013,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6035,364020,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6036,364039,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6037,364040,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6038,364041,NCI60,-,#N/A,,#N/A,#N/A
"3(2h)-pyridazinone, 2-(2-benzothiazolyl)-6-phenyl",364042,NCI60,"3(2h)-pyridazinone, 2-(2-benzothiazolyl)-6-phenyl",#N/A,,#N/A,#N/A
"2(5h)-furanone, 4-amino-5-(2,2-dimethoxyethyl)-5-methoxy",364043,NCI60,"2(5h)-furanone, 4-amino-5-(2,2-dimethoxyethyl)-5-methoxy",#N/A,,#N/A,#N/A
unnamed_6039,364050,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6040,364051,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6041,364052,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6042,364062,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6043,364063,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6044,364064,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6045,364065,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6046,364067,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6047,364068,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6048,364069,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6049,364070,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6050,364071,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6051,364072,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6052,364074,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6053,364075,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6054,364076,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6055,364077,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6056,364078,NCI60,-,#N/A,,#N/A,#N/A
"4-pentynoic acid, 2-amino-2-(hydroxymethyl)-",364079,NCI60,"4-pentynoic acid, 2-amino-2-(hydroxymethyl)-",#N/A,,#N/A,#N/A
unnamed_6057,364080,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6058,364082,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6059,364083,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6060,364085,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6061,364086,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6062,364088,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6063,364089,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6064,364090,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6065,364091,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6066,364092,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6067,364093,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6068,364094,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6069,364095,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6070,364096,NCI60,-,#N/A,,#N/A,#N/A
"1-naphthalenecarboxamide, n,n'-1,8-(octanediyl)bis-",364097,NCI60,"1-naphthalenecarboxamide, n,n'-1,8-(octanediyl)bis-",#N/A,,#N/A,#N/A
unnamed_6071,364098,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6072,364099,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6073,364100,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6074,364101,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6075,364103,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6076,364104,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6077,364105,NCI60,-,#N/A,,#N/A,#N/A
dehydro iso-.alpha.-lapachone,364109,NCI60,dehydro iso-.alpha.-lapachone,#N/A,,#N/A,#N/A
unnamed_6078,364110,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6079,364111,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6080,364112,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6081,364113,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6082,364114,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6083,364115,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6084,364116,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6085,364117,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6086,364118,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6087,364119,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6088,364120,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6089,364121,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6090,364122,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6091,364123,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6092,364124,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6093,364125,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6094,364126,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6095,364127,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6096,364128,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6097,364133,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6098,364135,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6099,364138,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6100,364139,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6101,364140,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6102,364141,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6103,364145,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6104,364147,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6105,364148,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6106,364149,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6107,364151,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6108,364152,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6109,364153,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6110,364154,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6111,364155,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6112,364156,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6113,364157,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6114,364158,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6115,364160,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6116,364161,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6117,364162,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6118,364163,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6119,364164,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6120,364166,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6121,364167,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6122,364168,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6123,364173,NCI60,-,#N/A,,#N/A,#N/A
"benzenamine, 4-ethoxy-n-[(4-quinolinyl)methylene]-",364174,NCI60,"benzenamine, 4-ethoxy-n-[(4-quinolinyl)methylene]-",#N/A,,#N/A,#N/A
unnamed_6124,364175,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6125,364176,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6126,364207,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6127,364210,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6128,364211,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6129,364212,NCI60,-,#N/A,,#N/A,#N/A
6-(p-bromophenylazo)coumarin-3-carboxy-p-toluidide,364223,NCI60,6-(p-bromophenylazo)coumarin-3-carboxy-p-toluidide,#N/A,,#N/A,#N/A
6-(p-bromophenylazo)coumarin-3-carboxy-m-chloroanilide,364224,NCI60,6-(p-bromophenylazo)coumarin-3-carboxy-m-chloroanilide,#N/A,,#N/A,#N/A
unnamed_6130,364225,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6131,364226,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6132,364227,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6133,364228,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6134,364233,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6135,364234,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6136,364236,NCI60,-,#N/A,,#N/A,#N/A
"benzene, 1-nitro-2-(phenylsulfinyl)-",364237,NCI60,"benzene, 1-nitro-2-(phenylsulfinyl)-",#N/A,,#N/A,#N/A
"benzene, 1-[(4-methylphenyl)sulfinyl]-2-nitro-",364238,NCI60,"benzene, 1-[(4-methylphenyl)sulfinyl]-2-nitro-",#N/A,,#N/A,#N/A
unnamed_6137,364241,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6138,364244,NCI60,-,#N/A,,#N/A,#N/A
n-(2-scoa-tetradecanoyl)glycinamide,364246,NCI60,n-(2-scoa-tetradecanoyl)glycinamide,#N/A,,#N/A,#N/A
unnamed_6139,364255,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6140,364257,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6141,364258,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6142,364259,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6143,364260,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6144,364261,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6145,364262,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6146,364263,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6147,364264,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6148,364266,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6149,364267,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6150,364268,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6151,364269,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6152,364270,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6153,364272,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6154,364273,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6155,364275,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6156,364276,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6157,364278,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6158,364280,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6159,364282,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6160,364285,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6161,364286,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6162,364289,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6163,364293,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6164,364294,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6165,364297,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6166,364301,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6167,364305,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6168,364307,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6169,364309,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6170,364310,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6171,364311,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6172,364312,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6173,364313,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6174,364314,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6175,364315,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6176,364320,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6177,364321,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6178,364322,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6179,364323,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6180,364324,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6181,364327,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6182,364328,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6183,364329,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6184,364330,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6185,364331,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6186,364332,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6187,364333,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6188,364334,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6189,364336,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6190,364337,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6191,364338,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6192,364346,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6193,364358,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6194,364359,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6195,364363,NCI60,-,#N/A,,#N/A,#N/A
"2h-1-benzopyran-2-one, 4-(2-benzofuranyl)-7-methoxy-",364364,NCI60,"2h-1-benzopyran-2-one, 4-(2-benzofuranyl)-7-methoxy-",#N/A,,#N/A,#N/A
unnamed_6196,364366,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6197,364367,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6198,364368,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6199,364384,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6200,364391,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6201,364392,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6202,364393,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6203,364399,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6204,364400,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6205,364412,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6206,364413,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6207,364414,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6208,364415,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6209,364419,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6210,364420,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6211,364424,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6212,364425,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6213,364426,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6214,364427,NCI60,-,#N/A,,#N/A,#N/A
"[2,2'-bithiophene]-5-carboxaldehyde",364428,NCI60,"[2,2'-bithiophene]-5-carboxaldehyde",#N/A,,#N/A,#N/A
cis- and trans-2-hydroxycyclopentanemethanol,364429,NCI60,cis- and trans-2-hydroxycyclopentanemethanol,#N/A,,#N/A,#N/A
unnamed_6215,364431,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6216,364432,NCI60,-,#N/A,,#N/A,#N/A
amchloramide,364434,NCI60,amchloramide,#N/A,,#N/A,#N/A
amchlorguanidine,364435,NCI60,amchlorguanidine,#N/A,,#N/A,#N/A
amchlordimidine,364436,NCI60,amchlordimidine,#N/A,,#N/A,#N/A
amchloroxazole,364437,NCI60,amchloroxazole,#N/A,,#N/A,#N/A
amilamide,364438,NCI60,amilamide,#N/A,,#N/A,#N/A
amiguanidine,364439,NCI60,amiguanidine,#N/A,,#N/A,#N/A
amidimidine,364440,NCI60,amidimidine,#N/A,,#N/A,#N/A
amioxazole,364441,NCI60,amioxazole,#N/A,,#N/A,#N/A
acridomide,364442,NCI60,acridomide,#N/A,,#N/A,#N/A
acridoguanidine,364443,NCI60,acridoguanidine,#N/A,,#N/A,#N/A
acridodimidine,364444,NCI60,acridodimidine,#N/A,,#N/A,#N/A
acridoxazole,364445,NCI60,acridoxazole,#N/A,,#N/A,#N/A
azacridomide,364446,NCI60,azacridomide,#N/A,,#N/A,#N/A
azacridoguanidine,364447,NCI60,azacridoguanidine,#N/A,,#N/A,#N/A
azacridodimidine,364448,NCI60,azacridodimidine,#N/A,,#N/A,#N/A
azacridoxazole,364449,NCI60,azacridoxazole,#N/A,,#N/A,#N/A
aniloacrone,364450,NCI60,aniloacrone,#N/A,,#N/A,#N/A
toluacrone,364451,NCI60,toluacrone,#N/A,,#N/A,#N/A
anisoacrone,364452,NCI60,anisoacrone,#N/A,,#N/A,#N/A
chloroacrone,364453,NCI60,chloroacrone,#N/A,,#N/A,#N/A
acetoacrone,364454,NCI60,acetoacrone,#N/A,,#N/A,#N/A
carbacrone,364455,NCI60,carbacrone,#N/A,,#N/A,#N/A
nilacrone,364456,NCI60,nilacrone,#N/A,,#N/A,#N/A
diazacrone,364458,NCI60,diazacrone,#N/A,,#N/A,#N/A
acenilacrone,364459,NCI60,acenilacrone,#N/A,,#N/A,#N/A
dimacrone,364460,NCI60,dimacrone,#N/A,,#N/A,#N/A
methacrone,364461,NCI60,methacrone,#N/A,,#N/A,#N/A
unnamed_6217,364462,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6218,364463,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6219,364469,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6220,364470,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6221,364471,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6222,364472,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6223,364473,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6224,364475,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6225,364476,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6226,364477,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6227,364478,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6228,364481,NCI60,-,#N/A,,#N/A,#N/A
tetra(4-methoxyphenol)tin,364483,NCI60,tetra(4-methoxyphenol)tin,#N/A,,#N/A,#N/A
tetra(4-dimethylaminophenyl)tin tetramethiodide,364484,NCI60,tetra(4-dimethylaminophenyl)tin tetramethiodide,#N/A,,#N/A,#N/A
tetra(4-dimethylaminophenyl)tin,364486,NCI60,tetra(4-dimethylaminophenyl)tin,#N/A,,#N/A,#N/A
"1,2-o-isopropylidene-.alpha.-d-glucofuranose-3-o-butyrate",364487,NCI60,"1,2-o-isopropylidene-.alpha.-d-glucofuranose-3-o-butyrate",#N/A,,#N/A,#N/A
unnamed_6229,364494,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6230,364507,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6231,364508,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6232,364513,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6233,364518,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6234,364519,NCI60,-,#N/A,,#N/A,#N/A
